date,symbol,dollars
2026-07-31,HWM,2540.34
2026-07-31,JNJ,2272.79
2026-07-31,TD,2098.00
2026-07-31,CAT,1817.02
2026-07-31,MPC,1771.28
2026-07-31,CVS,1566.45
2026-07-31,MNST,1545.45
2026-07-31,TRP,1348.60
2026-07-31,EIX,1297.98
2026-07-31,HST,1256.50
2026-07-31,FDX,1229.60
2026-07-31,FTNT,1133.65
2026-07-31,MU,917.67
2026-07-31,UNH,881.01
2026-07-31,TRGP,811.11
2026-07-31,TIGO,763.84
2026-07-31,RVMD,750.12
2026-07-31,STT,736.64
2026-07-31,PANW,663.66
2026-07-31,DDOG,591.40
2026-07-31,RPRX,584.30
2026-07-31,AMD,489.95
2026-07-31,CSX,301.64
